concept:name,starttime,sensor,endtime,Translate01,Translate02,duration,daycase,time:timestamp
Cook_Dinner,2011-06-22 18:53:22,M007,2011-06-22 19:08:46,Kitchen,Kitchen,0 days 00:15:24,2011-6-22,2011-06-22 18:53:22
Phone,2011-06-22 19:08:53,M004,2011-06-22 19:10:05,LivingRoom,Chair,0 days 00:01:12,2011-6-22,2011-06-22 19:08:53
Cook_Dinner,2011-06-22 19:10:23,M007,2011-06-22 19:10:49,Kitchen,Kitchen,0 days 00:00:26,2011-6-22,2011-06-22 19:10:23
Eat_Dinner,2011-06-22 19:11:03,M005,2011-06-22 19:31:07,DiningRoom,DiningRoom,0 days 00:20:04,2011-6-22,2011-06-22 19:11:03
Wash_Dinner_Dishes,2011-06-22 19:31:16,M007,2011-06-22 19:38:28,Kitchen,Kitchen,0 days 00:07:12,2011-6-22,2011-06-22 19:31:16
Watch_TV,2011-06-22 19:38:40,M004,2011-06-22 20:31:13,LivingRoom,Chair,0 days 00:52:33,2011-6-22,2011-06-22 19:38:40
Wash_Dinner_Dishes,2011-06-22 20:31:22,M008,2011-06-22 20:35:59,Kitchen,Kitchen,0 days 00:04:37,2011-6-22,2011-06-22 20:31:22
Wash_Dishes,2011-06-22 20:39:41,M007,2011-06-22 20:43:46,Kitchen,Kitchen,0 days 00:04:05,2011-6-22,2011-06-22 20:39:41
Toilet,2011-06-22 20:43:55,MA009,2011-06-22 20:53:38,Bathroom,Bathroom,0 days 00:09:43,2011-6-22,2011-06-22 20:43:55
Drink,2011-06-22 20:53:52,M007,2011-06-22 21:02:19,Kitchen,Kitchen,0 days 00:08:27,2011-6-22,2011-06-22 20:53:52
Toilet,2011-06-22 21:05:52,MA013,2011-06-22 21:06:33,Bathroom,Bathroom,0 days 00:00:41,2011-6-22,2011-06-22 21:05:52
Work,2011-06-22 21:10:01,MA014,2011-06-22 21:18:12,WorkArea,Office,0 days 00:08:11,2011-6-22,2011-06-22 21:10:01
Watch_TV,2011-06-22 21:20:46,M004,2011-06-22 21:58:51,LivingRoom,Chair,0 days 00:38:05,2011-6-22,2011-06-22 21:20:46
Dress,2011-06-22 22:03:01,MA020,2011-06-22 22:07:30,Bedroom,Bedroom,0 days 00:04:29,2011-6-22,2011-06-22 22:03:01
Personal_Hygiene,2011-06-22 22:07:36,MA013,2011-06-22 22:31:54,Bathroom,Bathroom,0 days 00:24:18,2011-6-22,2011-06-22 22:07:36
Sleep,2011-06-22 22:35:11,M021,2011-06-22 23:59:59,Bedroom,Bed,0 days 01:24:48,2011-6-22,2011-06-22 22:35:11
Sleep,2011-06-23 00:00:00,M021,2011-06-23 08:00:32,,,0 days 08:00:32,2011-6-23,2011-06-23 00:00:00
Toilet,2011-06-23 08:01:23,MA013,2011-06-23 08:03:05,Bathroom,Bathroom,0 days 00:01:42,2011-6-23,2011-06-23 08:01:23
Morning_Meds,2011-06-23 08:03:09,MA013,2011-06-23 08:03:57,Bathroom,Bathroom,0 days 00:00:48,2011-6-23,2011-06-23 08:03:09
Drink,2011-06-23 08:04:56,M007,2011-06-23 08:05:06,Kitchen,Kitchen,0 days 00:00:10,2011-6-23,2011-06-23 08:04:56
Read,2011-06-23 08:05:44,M004,2011-06-23 08:34:13,LivingRoom,Chair,0 days 00:28:29,2011-6-23,2011-06-23 08:05:44
Cook_Breakfast,2011-06-23 08:36:24,M007,2011-06-23 08:47:56,Kitchen,Kitchen,0 days 00:11:32,2011-6-23,2011-06-23 08:36:24
Bathe,2011-06-23 08:58:53,MA013,2011-06-23 09:14:09,Bedroom,Hall,0 days 00:15:16,2011-6-23,2011-06-23 08:58:53
Dress,2011-06-23 09:14:11,MA020,2011-06-23 09:19:54,Bedroom,Bedroom,0 days 00:05:43,2011-6-23,2011-06-23 09:14:11
Groom,2011-06-23 09:20:32,MA013,2011-06-23 09:31:35,Bathroom,Bathroom,0 days 00:11:03,2011-6-23,2011-06-23 09:20:32
Leave_Home,2011-06-23 09:33:29,MA003,2011-06-23 09:34:56,OutsideDoor,FrontDoor,0 days 00:01:27,2011-6-23,2011-06-23 09:33:29
Enter_Home,2011-06-23 12:54:01,D002,2011-06-23 12:54:45,LivingRoom,LivingRoom,0 days 00:00:44,2011-6-23,2011-06-23 12:54:01
Cook_Lunch,2011-06-23 12:58:31,M007,2011-06-23 13:10:19,Kitchen,Kitchen,0 days 00:11:48,2011-6-23,2011-06-23 12:58:31
Toilet,2011-06-23 13:11:33,MA009,2011-06-23 13:12:06,Bathroom,Bathroom,0 days 00:00:33,2011-6-23,2011-06-23 13:11:33
Cook_Lunch,2011-06-23 13:15:49,M007,2011-06-23 13:23:43,Kitchen,Kitchen,0 days 00:07:54,2011-6-23,2011-06-23 13:15:49
Eat_Lunch,2011-06-23 13:24:32,M005,2011-06-23 13:43:16,DiningRoom,DiningRoom,0 days 00:18:44,2011-6-23,2011-06-23 13:24:32
Wash_Lunch_Dishes,2011-06-23 13:47:51,M008,2011-06-23 13:53:11,Kitchen,Kitchen,0 days 00:05:20,2011-6-23,2011-06-23 13:47:51
Personal_Hygiene,2011-06-23 13:55:27,MA013,2011-06-23 14:05:17,Bathroom,Bathroom,0 days 00:09:50,2011-6-23,2011-06-23 13:55:27
Take_Medicine,2011-06-23 14:05:19,MA013,2011-06-23 14:06:19,Bathroom,Bathroom,0 days 00:01:00,2011-6-23,2011-06-23 14:05:19
Leave_Home,2011-06-23 14:08:38,MA010,2011-06-23 14:09:01,OutsideDoor,FrontDoor,0 days 00:00:23,2011-6-23,2011-06-23 14:08:38
Enter_Home,2011-06-23 15:02:36,D002,2011-06-23 15:02:46,OutsideDoor,FrontDoor,0 days 00:00:10,2011-6-23,2011-06-23 15:02:36
Personal_Hygiene,2011-06-23 15:05:33,MA009,2011-06-23 15:05:44,Bathroom,Bathroom,0 days 00:00:11,2011-6-23,2011-06-23 15:05:33
Groom,2011-06-23 15:08:00,MA013,2011-06-23 15:08:19,Bathroom,Bathroom,0 days 00:00:19,2011-6-23,2011-06-23 15:08:00
Leave_Home,2011-06-23 15:08:35,M002,2011-06-23 15:08:44,OutsideDoor,FrontDoor,0 days 00:00:09,2011-6-23,2011-06-23 15:08:35
Enter_Home,2011-06-23 15:15:58,D002,2011-06-23 15:16:10,LivingRoom,LivingRoom,0 days 00:00:12,2011-6-23,2011-06-23 15:15:58
Relax,2011-06-23 15:17:00,M004,2011-06-23 17:00:00,LivingRoom,LivingRoom,0 days 01:43:00,2011-6-23,2011-06-23 15:17:00
Cook_Dinner,2011-06-23 17:00:08,M007,2011-06-23 17:08:15,Kitchen,Kitchen,0 days 00:08:07,2011-6-23,2011-06-23 17:00:08
Watch_TV,2011-06-23 17:08:19,M004,2011-06-23 17:29:04,LivingRoom,Chair,0 days 00:20:45,2011-6-23,2011-06-23 17:08:19
Cook_Dinner,2011-06-23 17:29:07,M007,2011-06-23 17:44:05,Kitchen,Kitchen,0 days 00:14:58,2011-6-23,2011-06-23 17:29:07
Eat_Dinner,2011-06-23 17:44:12,M005,2011-06-23 17:59:20,DiningRoom,DiningRoom,0 days 00:15:08,2011-6-23,2011-06-23 17:44:12
Wash_Dinner_Dishes,2011-06-23 17:59:25,M008,2011-06-23 18:00:46,Kitchen,Kitchen,0 days 00:01:21,2011-6-23,2011-06-23 17:59:25
Personal_Hygiene,2011-06-23 18:05:44,MA013,2011-06-23 18:14:21,Bathroom,Bathroom,0 days 00:08:37,2011-6-23,2011-06-23 18:05:44
Watch_TV,2011-06-23 18:16:32,M004,2011-06-23 18:43:23,LivingRoom,Chair,0 days 00:26:51,2011-6-23,2011-06-23 18:16:32
Wash_Dinner_Dishes,2011-06-23 18:43:49,M008,2011-06-23 18:49:08,Kitchen,Kitchen,0 days 00:05:19,2011-6-23,2011-06-23 18:43:49
Work_At_Table,2011-06-23 18:53:43,M005,2011-06-23 19:07:19,DiningRoom,DiningRoom,0 days 00:13:36,2011-6-23,2011-06-23 18:53:43
Watch_TV,2011-06-23 19:09:41,M004,2011-06-23 20:26:00,LivingRoom,LivingRoom,0 days 01:16:19,2011-6-23,2011-06-23 19:09:41
Wash_Dishes,2011-06-23 20:26:48,M008,2011-06-23 20:29:54,Kitchen,Kitchen,0 days 00:03:06,2011-6-23,2011-06-23 20:26:48
Dress,2011-06-23 20:35:40,MA020,2011-06-23 20:43:09,Bedroom,Bedroom,0 days 00:07:29,2011-6-23,2011-06-23 20:35:40
Toilet,2011-06-23 20:43:20,MA013,2011-06-23 20:44:48,Bathroom,Bathroom,0 days 00:01:28,2011-6-23,2011-06-23 20:43:20
Personal_Hygiene,2011-06-23 20:45:43,MA013,2011-06-23 20:46:42,Bathroom,Bathroom,0 days 00:00:59,2011-6-23,2011-06-23 20:45:43
Groom,2011-06-23 20:47:07,MA013,2011-06-23 21:26:58,Bathroom,Bathroom,0 days 00:39:51,2011-6-23,2011-06-23 20:47:07
Sleep,2011-06-23 21:28:52,M021,2011-06-23 23:59:59,Bedroom,Bedroom,0 days 02:31:07,2011-6-23,2011-06-23 21:28:52
Sleep,2011-06-24 00:00:00,M021,2011-06-24 03:03:55,,,0 days 03:03:55,2011-6-24,2011-06-24 00:00:00
Bed_Toilet_Transition,2011-06-24 03:04:10,MA013,2011-06-24 03:06:18,Bathroom,Bathroom,0 days 00:02:08,2011-6-24,2011-06-24 03:04:10
Sleep,2011-06-24 03:06:33,M021,2011-06-24 06:42:47,Bedroom,Bedroom,0 days 03:36:14,2011-6-24,2011-06-24 03:06:33
Bed_Toilet_Transition,2011-06-24 06:43:05,MA013,2011-06-24 06:47:03,Bathroom,Bathroom,0 days 00:03:58,2011-6-24,2011-06-24 06:43:05
Sleep,2011-06-24 06:47:19,M021,2011-06-24 08:32:25,Bedroom,Bed,0 days 01:45:06,2011-6-24,2011-06-24 06:47:19
Toilet,2011-06-24 08:33:37,MA013,2011-06-24 08:35:37,Bathroom,Bathroom,0 days 00:02:00,2011-6-24,2011-06-24 08:33:37
Morning_Meds,2011-06-24 08:35:47,MA013,2011-06-24 08:36:21,Bathroom,Bathroom,0 days 00:00:34,2011-6-24,2011-06-24 08:35:47
Read,2011-06-24 08:37:50,M004,2011-06-24 09:10:26,LivingRoom,Chair,0 days 00:32:36,2011-6-24,2011-06-24 08:37:50
Work_At_Table,2011-06-24 09:10:29,M005,2011-06-24 09:15:56,DiningRoom,DiningRoom,0 days 00:05:27,2011-6-24,2011-06-24 09:10:29
Cook_Breakfast,2011-06-24 09:16:13,M007,2011-06-24 09:22:02,Kitchen,Kitchen,0 days 00:05:49,2011-6-24,2011-06-24 09:16:13
Personal_Hygiene,2011-06-24 09:26:31,MA013,2011-06-24 09:35:36,Bathroom,Bathroom,0 days 00:09:05,2011-6-24,2011-06-24 09:26:31
Bathe,2011-06-24 09:40:36,MA013,2011-06-24 09:57:28,Bathroom,Bathroom,0 days 00:16:52,2011-6-24,2011-06-24 09:40:36
Dress,2011-06-24 09:57:39,MA020,2011-06-24 10:04:04,Bedroom,Bedroom,0 days 00:06:25,2011-6-24,2011-06-24 09:57:39
Groom,2011-06-24 10:04:25,MA013,2011-06-24 10:17:19,Bathroom,Bathroom,0 days 00:12:54,2011-6-24,2011-06-24 10:04:25
Wash_Breakfast_Dishes,2011-06-24 10:19:22,M007,2011-06-24 10:20:41,Kitchen,Kitchen,0 days 00:01:19,2011-6-24,2011-06-24 10:19:22
Work_At_Table,2011-06-24 10:21:10,M005,2011-06-24 10:24:10,DiningRoom,DiningRoom,0 days 00:03:00,2011-6-24,2011-06-24 10:21:10
Toilet,2011-06-24 10:28:03,MA009,2011-06-24 10:31:32,Bathroom,Bathroom,0 days 00:03:29,2011-6-24,2011-06-24 10:28:03
Personal_Hygiene,2011-06-24 10:31:47,MA013,2011-06-24 10:32:15,Bathroom,Bathroom,0 days 00:00:28,2011-6-24,2011-06-24 10:31:47
Leave_Home,2011-06-24 10:34:07,MA003,2011-06-24 10:34:34,OutsideDoor,FrontDoor,0 days 00:00:27,2011-6-24,2011-06-24 10:34:07
Enter_Home,2011-06-24 13:16:21,D002,2011-06-24 13:16:36,OutsideDoor,FrontDoor,0 days 00:00:15,2011-6-24,2011-06-24 13:16:21
Work_At_Table,2011-06-24 13:19:34,M005,2011-06-24 13:22:33,DiningRoom,DiningRoom,0 days 00:02:59,2011-6-24,2011-06-24 13:19:34
Personal_Hygiene,2011-06-24 13:24:48,MA013,2011-06-24 13:35:25,Bathroom,Bathroom,0 days 00:10:37,2011-6-24,2011-06-24 13:24:48
Dress,2011-06-24 13:35:45,MA020,2011-06-24 13:38:37,Bedroom,Bedroom,0 days 00:02:52,2011-6-24,2011-06-24 13:35:45
Toilet,2011-06-24 13:38:53,MA013,2011-06-24 13:40:02,Bathroom,Bathroom,0 days 00:01:09,2011-6-24,2011-06-24 13:38:53
Personal_Hygiene,2011-06-24 13:50:51,MA009,2011-06-24 13:50:56,Bathroom,Bathroom,0 days 00:00:05,2011-6-24,2011-06-24 13:50:51
Drink,2011-06-24 13:57:27,M007,2011-06-24 14:00:28,Kitchen,Kitchen,0 days 00:03:01,2011-6-24,2011-06-24 13:57:27
Leave_Home,2011-06-24 14:02:13,MA003,2011-06-24 14:02:43,OutsideDoor,FrontDoor,0 days 00:00:30,2011-6-24,2011-06-24 14:02:13
Enter_Home,2011-06-24 14:09:43,D002,2011-06-24 14:09:54,OutsideDoor,FrontDoor,0 days 00:00:11,2011-6-24,2011-06-24 14:09:43
Sleep_Out_Of_Bed,2011-06-24 14:10:34,MA003,2011-06-24 16:51:45,LivingRoom,Chair,0 days 02:41:11,2011-6-24,2011-06-24 14:10:34
Drink,2011-06-24 16:51:56,M007,2011-06-24 16:53:46,Kitchen,Kitchen,0 days 00:01:50,2011-6-24,2011-06-24 16:51:56
Toilet,2011-06-24 16:55:13,MA009,2011-06-24 16:58:50,Bathroom,Bathroom,0 days 00:03:37,2011-6-24,2011-06-24 16:55:13
Wash_Dishes,2011-06-24 16:59:12,M007,2011-06-24 17:04:49,Kitchen,Kitchen,0 days 00:05:37,2011-6-24,2011-06-24 16:59:12
Watch_TV,2011-06-24 17:04:54,M004,2011-06-24 18:13:02,LivingRoom,Chair,0 days 01:08:08,2011-6-24,2011-06-24 17:04:54
Personal_Hygiene,2011-06-24 18:16:35,MA013,2011-06-24 18:16:58,Bathroom,Bathroom,0 days 00:00:23,2011-6-24,2011-06-24 18:16:35
Cook_Dinner,2011-06-24 18:18:34,M007,2011-06-24 18:40:19,Kitchen,Kitchen,0 days 00:21:45,2011-6-24,2011-06-24 18:18:34
Eat_Dinner,2011-06-24 18:40:35,M005,2011-06-24 19:01:17,DiningRoom,DiningRoom,0 days 00:20:42,2011-6-24,2011-06-24 18:40:35
Wash_Dinner_Dishes,2011-06-24 19:01:18,M008,2011-06-24 19:04:11,Kitchen,Kitchen,0 days 00:02:53,2011-6-24,2011-06-24 19:01:18
Watch_TV,2011-06-24 19:04:21,M004,2011-06-24 19:57:43,LivingRoom,Chair,0 days 00:53:22,2011-6-24,2011-06-24 19:04:21
Wash_Dishes,2011-06-24 19:58:13,M007,2011-06-24 20:05:17,Kitchen,Kitchen,0 days 00:07:04,2011-6-24,2011-06-24 19:58:13
Drink,2011-06-24 20:05:31,M008,2011-06-24 20:07:35,Kitchen,Kitchen,0 days 00:02:04,2011-6-24,2011-06-24 20:05:31
Personal_Hygiene,2011-06-24 20:08:00,MA013,2011-06-24 20:15:34,Bathroom,Bathroom,0 days 00:07:34,2011-6-24,2011-06-24 20:08:00
Wash_Dinner_Dishes,2011-06-24 20:23:38,M007,2011-06-24 20:27:39,Kitchen,Kitchen,0 days 00:04:01,2011-6-24,2011-06-24 20:23:38
Watch_TV,2011-06-24 20:28:26,MA003,2011-06-24 20:48:08,LivingRoom,Chair,0 days 00:19:42,2011-6-24,2011-06-24 20:28:26
Dress,2011-06-24 20:49:14,MA020,2011-06-24 20:52:42,Bedroom,Bedroom,0 days 00:03:28,2011-6-24,2011-06-24 20:49:14
Groom,2011-06-24 20:52:51,MA013,2011-06-24 21:24:26,Bathroom,Bathroom,0 days 00:31:35,2011-6-24,2011-06-24 20:52:51
Sleep,2011-06-24 21:25:42,M021,2011-06-24 23:59:59,Bedroom,Bed,0 days 02:34:17,2011-6-24,2011-06-24 21:25:42
Sleep,2011-06-25 00:00:00,M021,2011-06-25 02:41:44,,,0 days 02:41:44,2011-6-25,2011-06-25 00:00:00
Bed_Toilet_Transition,2011-06-25 02:41:58,MA013,2011-06-25 02:45:00,Bathroom,Bathroom,0 days 00:03:02,2011-6-25,2011-06-25 02:41:58
Sleep,2011-06-25 02:45:08,M021,2011-06-25 09:14:59,Bedroom,Bed,0 days 06:29:51,2011-6-25,2011-06-25 02:45:08
Toilet,2011-06-25 09:15:44,MA013,2011-06-25 09:19:12,Bathroom,Bathroom,0 days 00:03:28,2011-6-25,2011-06-25 09:15:44
Morning_Meds,2011-06-25 09:19:17,MA013,2011-06-25 09:19:52,Bathroom,Bathroom,0 days 00:00:35,2011-6-25,2011-06-25 09:19:17
Read,2011-06-25 09:21:41,MA020,2011-06-25 10:39:42,Bedroom,Bed,0 days 01:18:01,2011-6-25,2011-06-25 09:21:41
Toilet,2011-06-25 10:40:44,MA013,2011-06-25 10:42:00,Bathroom,Bathroom,0 days 00:01:16,2011-6-25,2011-06-25 10:40:44
Work,2011-06-25 10:42:10,M015,2011-06-25 11:09:15,WorkArea,Office,0 days 00:27:05,2011-6-25,2011-06-25 10:42:10
Toilet,2011-06-25 11:09:51,MA013,2011-06-25 11:10:32,Bathroom,Bathroom,0 days 00:00:41,2011-6-25,2011-06-25 11:09:51
Personal_Hygiene,2011-06-25 11:12:38,MA013,2011-06-25 11:16:56,Bathroom,Bathroom,0 days 00:04:18,2011-6-25,2011-06-25 11:12:38
Cook_Breakfast,2011-06-25 11:18:59,M006,2011-06-25 11:37:23,Kitchen,Kitchen,0 days 00:18:24,2011-6-25,2011-06-25 11:18:59
Eat_Breakfast,2011-06-25 11:37:49,M005,2011-06-25 12:20:02,DiningRoom,DiningRoom,0 days 00:42:13,2011-6-25,2011-06-25 11:37:49
Wash_Breakfast_Dishes,2011-06-25 12:20:19,M008,2011-06-25 12:24:01,Kitchen,Kitchen,0 days 00:03:42,2011-6-25,2011-06-25 12:20:19
Relax,2011-06-25 12:24:09,M004,2011-06-25 13:30:15,LivingRoom,LivingRoom,0 days 01:06:06,2011-6-25,2011-06-25 12:24:09
Personal_Hygiene,2011-06-25 13:31:05,MA013,2011-06-25 13:41:41,Bathroom,Bathroom,0 days 00:10:36,2011-6-25,2011-06-25 13:31:05
Toilet,2011-06-25 13:41:58,MA009,2011-06-25 13:42:43,Bathroom,Bathroom,0 days 00:00:45,2011-6-25,2011-06-25 13:41:58
Personal_Hygiene,2011-06-25 13:47:17,MA013,2011-06-25 13:54:46,Bathroom,Bathroom,0 days 00:07:29,2011-6-25,2011-06-25 13:47:17
Bathe,2011-06-25 13:55:23,MA013,2011-06-25 14:08:25,Bathroom,Bathroom,0 days 00:13:02,2011-6-25,2011-06-25 13:55:23
Dress,2011-06-25 14:08:38,MA020,2011-06-25 14:13:01,Bedroom,Bedroom,0 days 00:04:23,2011-6-25,2011-06-25 14:08:38
Groom,2011-06-25 14:13:28,MA013,2011-06-25 14:27:02,Bathroom,Bathroom,0 days 00:13:34,2011-6-25,2011-06-25 14:13:28
Relax,2011-06-25 14:27:44,M004,2011-06-25 14:49:41,LivingRoom,Chair,0 days 00:21:57,2011-6-25,2011-06-25 14:27:44
Drink,2011-06-25 14:50:34,M007,2011-06-25 14:51:46,Kitchen,Kitchen,0 days 00:01:12,2011-6-25,2011-06-25 14:50:34
Sleep_Out_Of_Bed,2011-06-25 14:52:19,M004,2011-06-25 15:49:31,LivingRoom,Chair,0 days 00:57:12,2011-6-25,2011-06-25 14:52:19
Personal_Hygiene,2011-06-25 15:56:52,MA013,2011-06-25 15:57:04,Bathroom,Bathroom,0 days 00:00:12,2011-6-25,2011-06-25 15:56:52
Relax,2011-06-25 16:19:26,MA020,2011-06-25 16:29:29,Bedroom,Bedroom,0 days 00:10:03,2011-6-25,2011-06-25 16:19:26
Personal_Hygiene,2011-06-25 16:41:38,MA013,2011-06-25 16:41:49,Bathroom,Bathroom,0 days 00:00:11,2011-6-25,2011-06-25 16:41:38
Relax,2011-06-25 16:52:52,MA020,2011-06-25 17:44:29,Bedroom,Bedroom,0 days 00:51:37,2011-6-25,2011-06-25 16:52:52
Cook_Dinner,2011-06-25 17:48:31,M007,2011-06-25 17:53:38,Kitchen,Kitchen,0 days 00:05:07,2011-6-25,2011-06-25 17:48:31
Eat_Dinner,2011-06-25 17:53:42,M004,2011-06-25 18:03:17,LivingRoom,Chair,0 days 00:09:35,2011-6-25,2011-06-25 17:53:42
Watch_TV,2011-06-25 18:04:08,M004,2011-06-25 18:30:36,LivingRoom,Chair,0 days 00:26:28,2011-6-25,2011-06-25 18:04:08
Toilet,2011-06-25 18:30:59,MA013,2011-06-25 18:31:37,Bathroom,Bathroom,0 days 00:00:38,2011-6-25,2011-06-25 18:30:59
Step_Out,2011-06-25 18:34:01,MA003,2011-06-25 18:42:34,LivingRoom,LivingRoom,0 days 00:08:33,2011-6-25,2011-06-25 18:34:01
Watch_TV,2011-06-25 18:43:18,M004,2011-06-25 19:42:09,LivingRoom,Chair,0 days 00:58:51,2011-6-25,2011-06-25 18:43:18
Cook,2011-06-25 19:42:32,M007,2011-06-25 19:45:06,Kitchen,Kitchen,0 days 00:02:34,2011-6-25,2011-06-25 19:42:32
Toilet,2011-06-25 19:45:25,MA009,2011-06-25 19:56:08,Bathroom,Bathroom,0 days 00:10:43,2011-6-25,2011-06-25 19:45:25
Cook,2011-06-25 19:57:01,M007,2011-06-25 20:01:14,Kitchen,Kitchen,0 days 00:04:13,2011-6-25,2011-06-25 19:57:01
Eat,2011-06-25 20:01:29,M005,2011-06-25 20:14:47,DiningRoom,DiningRoom,0 days 00:13:18,2011-6-25,2011-06-25 20:01:29
Drink,2011-06-25 20:15:00,M007,2011-06-25 20:16:06,Kitchen,Kitchen,0 days 00:01:06,2011-6-25,2011-06-25 20:15:00
Watch_TV,2011-06-25 20:16:12,M004,2011-06-25 21:31:00,LivingRoom,Chair,0 days 01:14:48,2011-6-25,2011-06-25 20:16:12
Wash_Dinner_Dishes,2011-06-25 21:31:08,M008,2011-06-25 21:34:27,Kitchen,Kitchen,0 days 00:03:19,2011-6-25,2011-06-25 21:31:08
Drink,2011-06-25 21:35:04,M007,2011-06-25 21:38:20,Kitchen,Kitchen,0 days 00:03:16,2011-6-25,2011-06-25 21:35:04
Watch_TV,2011-06-25 21:40:16,M004,2011-06-25 22:01:03,LivingRoom,LivingRoom,0 days 00:20:47,2011-6-25,2011-06-25 21:40:16
Personal_Hygiene,2011-06-25 22:05:21,MA013,2011-06-25 22:23:19,Bathroom,Bathroom,0 days 00:17:58,2011-6-25,2011-06-25 22:05:21
Work,2011-06-25 22:25:07,M016,2011-06-25 22:30:03,WorkArea,Office,0 days 00:04:56,2011-6-25,2011-06-25 22:25:07
Toilet,2011-06-25 22:31:40,MA013,2011-06-25 22:34:28,Bathroom,Bathroom,0 days 00:02:48,2011-6-25,2011-06-25 22:31:40
Dress,2011-06-25 22:34:30,MA020,2011-06-25 22:39:08,Bedroom,Bedroom,0 days 00:04:38,2011-6-25,2011-06-25 22:34:30
Personal_Hygiene,2011-06-25 22:39:10,MA013,2011-06-25 22:39:48,Bathroom,Bathroom,0 days 00:00:38,2011-6-25,2011-06-25 22:39:10
Dress,2011-06-25 22:39:52,MA020,2011-06-25 22:44:42,Bedroom,Bedroom,0 days 00:04:50,2011-6-25,2011-06-25 22:39:52
Groom,2011-06-25 22:44:59,MA013,2011-06-25 23:11:39,Bathroom,Bathroom,0 days 00:26:40,2011-6-25,2011-06-25 22:44:59
Sleep,2011-06-25 23:12:51,M021,2011-06-25 23:59:59,Bedroom,Bed,0 days 00:47:08,2011-6-25,2011-06-25 23:12:51
Sleep,2011-06-26 00:00:00,M021,2011-06-26 07:50:05,,,0 days 07:50:05,2011-6-26,2011-06-26 00:00:00
Toilet,2011-06-26 07:51:16,MA013,2011-06-26 07:55:03,Bathroom,Bathroom,0 days 00:03:47,2011-6-26,2011-06-26 07:51:16
Morning_Meds,2011-06-26 07:55:03,MA013,2011-06-26 07:55:32,Bathroom,Bathroom,0 days 00:00:29,2011-6-26,2011-06-26 07:55:03
Personal_Hygiene,2011-06-26 07:57:03,MA013,2011-06-26 07:58:11,Bathroom,Bathroom,0 days 00:01:08,2011-6-26,2011-06-26 07:57:03
Read,2011-06-26 07:58:21,M021,2011-06-26 08:45:06,Bedroom,Bedroom,0 days 00:46:45,2011-6-26,2011-06-26 07:58:21
Cook_Breakfast,2011-06-26 08:46:22,M007,2011-06-26 08:51:26,Kitchen,Kitchen,0 days 00:05:04,2011-6-26,2011-06-26 08:46:22
Eat_Breakfast,2011-06-26 08:51:41,M004,2011-06-26 09:04:19,LivingRoom,Chair,0 days 00:12:38,2011-6-26,2011-06-26 08:51:41
Wash_Breakfast_Dishes,2011-06-26 09:04:27,M007,2011-06-26 09:05:26,Kitchen,Kitchen,0 days 00:00:59,2011-6-26,2011-06-26 09:04:27
Personal_Hygiene,2011-06-26 09:06:10,MA013,2011-06-26 09:25:57,Bathroom,Bathroom,0 days 00:19:47,2011-6-26,2011-06-26 09:06:10
Bathe,2011-06-26 09:30:40,MA013,2011-06-26 09:44:41,Bathroom,Bathroom,0 days 00:14:01,2011-6-26,2011-06-26 09:30:40
Groom,2011-06-26 09:45:34,MA013,2011-06-26 09:49:51,Bathroom,Bathroom,0 days 00:04:17,2011-6-26,2011-06-26 09:45:34
Dress,2011-06-26 09:49:53,MA020,2011-06-26 09:57:20,Bedroom,Bedroom,0 days 00:07:27,2011-6-26,2011-06-26 09:49:53
Drink,2011-06-26 09:57:43,M007,2011-06-26 09:57:59,Kitchen,Kitchen,0 days 00:00:16,2011-6-26,2011-06-26 09:57:43
Personal_Hygiene,2011-06-26 09:59:48,MA013,2011-06-26 10:00:31,Bathroom,Bathroom,0 days 00:00:43,2011-6-26,2011-06-26 09:59:48
Relax,2011-06-26 10:00:55,M004,2011-06-26 10:31:27,LivingRoom,Chair,0 days 00:30:32,2011-6-26,2011-06-26 10:00:55
Leave_Home,2011-06-26 10:32:42,MA003,2011-06-26 10:32:55,OutsideDoor,FrontDoor,0 days 00:00:13,2011-6-26,2011-06-26 10:32:42
Enter_Home,2011-06-26 14:04:18,D002,2011-06-26 14:04:33,LivingRoom,LivingRoom,0 days 00:00:15,2011-6-26,2011-06-26 14:04:18
Relax,2011-06-26 14:06:25,MA020,2011-06-26 14:24:36,Bedroom,Bedroom,0 days 00:18:11,2011-6-26,2011-06-26 14:06:25
Toilet,2011-06-26 14:25:36,MA013,2011-06-26 14:27:38,Bathroom,Bathroom,0 days 00:02:02,2011-6-26,2011-06-26 14:25:36
Personal_Hygiene,2011-06-26 14:30:47,MA013,2011-06-26 14:32:06,Bathroom,Bathroom,0 days 00:01:19,2011-6-26,2011-06-26 14:30:47
Take_Medicine,2011-06-26 14:35:05,MA013,2011-06-26 14:35:41,Bathroom,Bathroom,0 days 00:00:36,2011-6-26,2011-06-26 14:35:05
Personal_Hygiene,2011-06-26 14:40:36,MA013,2011-06-26 14:41:00,Bathroom,Bathroom,0 days 00:00:24,2011-6-26,2011-06-26 14:40:36
Toilet,2011-06-26 14:43:17,MA013,2011-06-26 14:43:56,Bathroom,Bathroom,0 days 00:00:39,2011-6-26,2011-06-26 14:43:17
Personal_Hygiene,2011-06-26 14:46:06,MA013,2011-06-26 14:46:22,Bathroom,Bathroom,0 days 00:00:16,2011-6-26,2011-06-26 14:46:06
